spreadsheet,sqltable,sqlcolumn
cif,address,cif
line1address,address,line_1_address
line2address,address,line_2_address
line3address,address,line_3_address
customercityname,address,customer_city_name
postalcode,address,postal_code
provincestatecode,address,province_state_code
addresscountrycode,address,address_country_code
legalline1address,address,line_1_address_legal
legalline2address,address,line_2_address_legal
legalline3address,address,line_3_address_legal
legalcustomercityname,address,customer_city_name_legal
legalpostalcode,address,postal_code_legal
legalprovincestatecode,address,province_state_code_legal
legaladdresscountrycode,address,address_country_code_legal
accountstatusdesc,account,account_status_desc
accountnumber,account,account_number
productdesc,account,product_desc
accountopendate,account,account_open_date
countryofresidencedesc,residence,country_of_residence_desc
canadapostaddressline1,residence,cp_address
canadapostcity,residence,cp_city
canadapostpostalcode,residence,cp_postal_code
canadapostprovince,residence,cp_province
canadapostcountry,residence,cp_country
address_deficiency_comments,residence,address_def_comm
nonresidentflag,residence,non_residential_flag
thirdpartyflag,third_party,third_party_flag
tp_deficiency_comments,third_party,third_party_def_comm
categorycode,intended_use,category_code
intendedusecode,intended_use,intended_use_code
intendedusedesc,intended_use,intended_use_desc
intendeduseotherdesc,intended_use,intended_use_other_desc
iu_deficiency_comments,intended_use,intended_use_def_comm
avgmocashdep,average_money,avg_mo_cash_dep
avgmochqdep,average_money,avg_mo_chq_dep
avgmoincwire,average_money,avg_mo_inc_wire
avgmooutwire,average_money,avg_mo_out_wire
aaa_deficiency_comments,average_money,aaa_def_comm
brokernumber,broker,broker_number
brokername,broker,broker_name
loandivisioncode,loan_lending,loan_division_code
loandivisiondesc,loan_lending,loan_division_desc
lendingprogramcode,loan_lending,lending_program_code
lendingprogramdesc,loan_lending,lending_program_desc
acctdaonumber,dao,acct_dao_number
acctdaofullname,dao,acct_dao_fullname
accountdaobranchdesc,dao,account_dao_branch_desc
accountdaodept,dao,account_dao_dept
custdaonumber,dao,cust_dao_number
custdaofullname,dao,cust_dao_fullname
custdaobranchdesc,dao,cust_dao_branch_desc
custdaodept,dao,cust_dao_dept
efg_dao,dao,efg_dao
address_review,review,address_review
physical_date_reviewed,review,physical_date_review
physical_reviewed_by,review,physical_reviewed_by
physical_qa_by,review,physical_qa_by
physical_qa_note,review,physical_qa_note
electronic_qa_by,review,electronic_qa_by
electronic_qa_note,review,electronic_qa_note
electronic_qa_rating,review,electronic_qa_rating
naics_review,non_personal_review,naics_r
charity_review,non_personal_review,charity_r
third_party,non_personal_review,third_party
intended_use,non_personal_review,intended_use
anticipated_acct_activities,non_personal_review,anticipated_acct_activities
ownership_structure,non_personal_review,ownership_structure
owners_on_system,non_personal_review,owners_on_system
confirm_existance,non_personal_review,confirmed_existence
record_of_directors,non_personal_review,record_of_directors
directors_on_system,non_personal_review,directors_on_system
signers_review,non_personal_review,signers_review
physical_file_review,non_personal_review,physical_file_review
filenetwave,non_personal_review,filenet_wave
date_sent,non_personal_review,date_sent
date_received,non_personal_review,date_received
br_note,non_personal_review,br_note
jointtotalcount,metrics,joint_total_count
primarycount,metrics,primary_count
jointjointcount,metrics,joint_joint_count
jointsingercount,metrics,joint_singer_count
jointpowerofattorneycount,metrics,joint_power_of_attorney_count
jointexecutorcount,metrics,joint_executor_count
jointtrusteecount,metrics,joint_trustee_count
jointtenantsincommoncount,metrics,joint_tenants_in_common_count
jointguarantorcount,metrics,joint_guarantor_count
jointthirdpartycount,metrics,joint_third_party_count
jointothercount,metrics,joint_other_count
totalaccountcount,metrics,total_account_count
totaldepositcount,metrics,total_deposit_count
totaldemandaccountcount,metrics,total_demand_account_count
totalloancount,metrics,total_loan_count
totaltermdepositcount,metrics,total_term_deposit_count
cif_count,metrics,cif_count
efg_cif_count,metrics,efg_cif_count
cif_itf_count,metrics,cif_itf_count
account_count,metrics,account_count
itf_account_count,metrics,itf_account_count
cifstatusdesc,non_personal,cif_status_desc
naicscode,non_personal,naics_code
naicsname,non_personal,naics_name
naicssectorname,non_personal,naics_sector_name
naicsinternalsectorname,non_personal,naics_internal_sector_name
naics_lookup,non_personal,naics_lookup
naicsprohibited,non_personal,naics_prohibited
name_holding_but_not_holding_company,non_personal,name_holding_but_not_holding_company
naics_deficiency_comments,non_personal,naics_def_comm
acceptsdonationsflag,non_personal,accepts_donations_flag
registeredcharityflag,non_personal,registered_charity_flag
charity_deficiency_comments,non_personal,charity_def_comm
review_eligible,non_personal,review_eligible
duplicate_cif_but_different_branches,non_personal,duplicate_cif_different_branches
same_name_different_cif,non_personal,same_name_different_cif
at_least_1,non_personal,at_least_1
customername,customer,customer_name
alternatename,customer,alternate_name
tradename,customer,trade_name
customerbirthdate,customer,customer_birth_date
deceaseddate,customer,deceased_date
customeropendate,customer,customer_open_date
cif,customer,cif
customerindustrycode,customer,customer_industry_code
customerindustrydesc,customer,customer_industry_desc
customersectordesc,customer,customer_sector_desc
calendardate,customer,calendar_date
quarter,customer,quarter
posting_restriction,customer,posting_restriction
efg_flag,customer,efg_flag
rolling_gic,customer,rolling_gic
exempt_deceased,customer,exempect_deceased
accountbranchdesc,branch,branch_name
regionname,branch,region_name
done,,
fictitious,,
addressline1_check,,
city_check,,
postalcode_check,,
province_check,,
peer_reviewed_by,,
peer_reviewed_comment,,
peer_review_correction_done,,
loan_only_bi_report,,
