spreadsheet,sqltable,sqlcolumn
cif,address,cif
line1address,address,line_1_address
line2address,address,line_2_address
line3address,address,line_3_address
customercityname,address,customer_city_name
postalcode,address,postal_code
provincestatecode,address,province_state_code
addresscountrycode,address,address_country_code
legalline1address,address,line_1_address_legal
legalline2address,address,line_2_address_legal
legalline3address,address,line_3_address_legal
legalcustomercityname,address,customer_city_name_legal
legalpostalcode,address,postal_code_legal
legalprovincestatecode,address,province_state_code_legal
legaladdresscountrycode,address,address_country_code_legal
accountstatusdesc,account,account_status_desc
accountnumber,account,account_number
productdesc,account,product_desc
accountopendate,account,account_open_date
countryofresidencedesc,residence,country_of_residence_desc
canadapostaddressline1,residence,cp_address
canadapostcity,residence,cp_city
canadapostpostalcode,residence,cp_postal_code
canadapostprovince,residence,cp_province
canadapostcountry,residence,cp_country
address_deficiency_comments,residence,address_def_comm
nonresidentflag,residence,non_residential_flag
thirdpartyflag,third_party,third_party_flag
tp_deficiency_comments,third_party,third_party_def_comm
categorycode,intended_use,category_code
intendedusecode,intended_use,intended_use_code
intendedusedesc,intended_use,intended_use_desc
intendeduseotherdesc,intended_use,intended_use_other_desc
iu_deficiency_comments,intended_use,intended_use_def_comm
avgmocashdep,average_money,avg_mo_cash_dep
avgmochqdep,average_money,avg_mo_chq_dep
avgmoincwire,average_money,avg_mo_inc_wire
avgmooutwire,average_money,avg_mo_out_wire
aaa_deficiency_comments,average_money,aaa_def_comm
brokernumber,broker,broker_number
brokername,broker,broker_name
loandivisioncode,loan_lending,loan_division_code
loandivisiondesc,loan_lending,loan_division_desc
lendingprogramcode,loan_lending,lending_program_code
lendingprogramdesc,loan_lending,lending_program_desc
acctdaonumber,dao,acct_dao_number
acctdaofullname,dao,acct_dao_fullname
accountdaobranchdesc,dao,account_dao_branch_desc
accountdaodept,dao,account_dao_dept
custdaonumber,dao,cust_dao_number
custdaofullname,dao,cust_dao_fullname
custdaobranchdesc,dao,cust_dao_branch_desc
custdaodept,dao,cust_dao_dept
efg_dao,dao,efg_dao
address_review,review,address_review
physical_date_reviewed,review,physical_date_review
physical_reviewed_by,review,physical_reviewed_by
physical_qa_by,review,physical_qa_by
physical_qa_note,review,physical_qa_note
electronic_qa_by,review,electronic_qa_by
electronic_qa_note,review,electronic_qa_note
